time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-05-11 00:23:57.677 UTC, ,375,3174391,2536,28208,80, ,6,1,195,6,0.03, , , , , , , ,6,6, ,74,1,6,3,9, ,118,14, , , , , , , , , , , , , ,34361512768,98,81770102,34361508470,1, ,5,10, ,5,5, , , , , ,16,101, , , , , , , , , , , , , , , , , , , , , , , , ,1494462237329, , , , ,3145728, , , ,27,1,1,1,1,7,1, , ,3,2, , , ,27, ,28940,11,4429,1, , ,13173263,178, , , , , , , , , , ,40637616,2, , , , , , ,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:27:16.105 UTC, ,375,3170255,2536,24152, , ,5,1,128,5,0.04, , , , , , , ,5,5, ,41,1,5,2,8, ,85,13, , , , , , , , , , , , , ,34362096463,99,82355424,34362093792,1,1,1,3, ,3,3, , , , , ,20,156, , , , , , , , , , , , , , , , , , , , , , , , ,1494462435761, , , , ,3145728, , , ,26,2,1,2,1,5,1, , ,3,2, , , ,26, ,10258,6,2802,1, , ,10056595,133, , , , , , , , , , ,38644912,2, , , , , , ,78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:28:21.552 UTC, ,375,3170175,2536,24072, , ,5,2,97,5,0.05, , , , , , , ,5,5, ,29,2,5,2,8, ,69,14, , , , , , , , , , , , , ,34364290436,100,84548490,34364286858,1,1,2,5, ,9,9, , , , , ,24,191, , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , ,28,1,1,1,1,5,1, , ,3,2, , , ,28, ,1630411,16,3709,1, , ,30872453,119, , , , , , , , , , ,54385536,2, , , , , , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:29:21.558 UTC, ,1911,15168391,2848,12020528,224, ,6, ,24096,1,0.00, , , , , , , ,6,6, , , ,6, ,11, ,599,71, , , , , , , , , , , , , ,34364290436,100,84548490,34364286858, , , , , ,29,29, , , ,68, ,145,1465,2, ,1, ,1,173,30,56,23, , , ,33,1116, , , , , , , , , , ,1494462501209, , , , ,3145728, , , ,73,1,86,20,86,7,86, , ,3,90, , , ,73,3,1907644,32,858267,4, , ,20363604,192,11140398,83, , , , , , ,28,134,92919304,2, , , , , , ,663, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,14, ,85, ,14,454,23502, , , , , , , 
2017-05-11 00:30:21.561 UTC, ,1178,15925874,1912,12778744,224, ,6, ,1642, , , , , , , , , ,6,6, , , ,6, ,11, ,87, , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199,1, ,3,6, ,74,74, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , , ,6, ,6, ,6, , ,3,7, , , , ,1, , , , , , , , ,766180,6, , , , , , ,2,5,113134704,2, , , , , , ,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , ,61,1547, , , , , , , 
2017-05-11 00:31:21.564 UTC, ,1178,24094994,2016,20947864,224, ,7, ,16083, , , , , , , , , ,7,6, , , ,6, ,11, ,505, , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199, , , , , ,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , ,1,64,25,64,2,64, , ,3,67, , , , ,1, , ,38,1, , ,2048,1,8176722,64, , , , , , ,30,79,126645304,1, , , , , , ,569, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,64, , ,505,15513, , , , , , , 
2017-05-11 00:32:21.565 UTC, ,1178,24094994,2016,20947864,224, ,7, , , , , , , , , , , ,7,6, , , ,6, ,11, , , , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199, , , , , ,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , , , , , , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , ,12,17,120148464,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:33:21.567 UTC, ,1178,24094994,2016,20947864,224, ,7, , , , , , , , , , , ,7,6, , , ,6, ,11, , , , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199, , , , , ,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,11,15,127373984,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:34:21.568 UTC, ,1178,24094994,2016,20947864,224, ,7, , , , , , , , , , , ,7,6, , , ,6, ,11, , , , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199, , , , , ,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,12,17,126513592,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-11 00:35:21.573 UTC, ,1178,24094994,2016,20947864,224, ,7, , , , , , , , , , , ,7,6, , , ,6, ,11, , , , , , , , , , , , , , , , ,38662129940,101,12868045,38662122199, , , , , ,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1494462501209, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,11,15,132093368,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
